Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Nikita,,,2018-12-07 16:56:30,2018-12-07 16:56:39,8.102s,FAILED
,,,,,,
Test Cases/Nikita/Orange HRM/Login_Excel_testdata,,,2018-12-07 16:56:31,2018-12-07 16:56:38,7.198s,FAILED
"openBrowser("""")",,,2018-12-07 16:56:32,2018-12-07 16:56:38,6.276s,FAILED
,,,,,,
Test Cases/Nikita/Orange HRM/Login_Excel_testdata,,,2018-12-07 16:56:38,2018-12-07 16:56:38,0.157s,FAILED
"openBrowser("""")",,,2018-12-07 16:56:38,2018-12-07 16:56:38,0.117s,FAILED
