Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Nikita,,,2018-12-07 16:47:10,2018-12-07 16:47:13,3.048s,FAILED
,,,,,,
Test Cases/Nikita/Orange HRM/Login_Excel_testdata,,,2018-12-07 16:47:10,2018-12-07 16:47:13,2.203s,FAILED
"openBrowser("""")",,,2018-12-07 16:47:11,2018-12-07 16:47:13,1.416s,FAILED
,,,,,,
Test Cases/Nikita/Orange HRM/Login_Excel_testdata,,,2018-12-07 16:47:13,2018-12-07 16:47:13,0.299s,FAILED
"openBrowser("""")",,,2018-12-07 16:47:13,2018-12-07 16:47:13,0.267s,FAILED
