Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite 2,Chrome 70.0.3538.102,,2018-11-15 16:47:07,2018-11-15 16:48:37,1m - 29.925s,ERROR
,,,,,,
Test Cases/Mohit/Drag_Drop,Chrome 70.0.3538.102,,2018-11-15 16:47:09,2018-11-15 16:48:00,51.522s,PASSED
"Statement - imgDir = com.kms.katalon.core.configuration.RunConfiguration.getProjectDir() + ""/img/""",Chrome 70.0.3538.102,,2018-11-15 16:47:10,2018-11-15 16:47:10,0.002s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-15 16:47:10,2018-11-15 16:47:12,2.010s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 16:47:12,2018-11-15 16:47:35,23.066s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 16:47:35,2018-11-15 16:47:36,1.152s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-15 16:47:36,2018-11-15 16:47:38,2.002s,PASSED
Statement - screen = new org.sikuli.script.Screen(),Chrome 70.0.3538.102,,2018-11-15 16:47:38,2018-11-15 16:47:50,11.283s,PASSED
Statement - one = new org.sikuli.script.Pattern((imgDir + one.png)),Chrome 70.0.3538.102,,2018-11-15 16:47:50,2018-11-15 16:47:55,5.274s,PASSED
Statement - drop = new org.sikuli.script.Pattern((imgDir + drop.png)),Chrome 70.0.3538.102,,2018-11-15 16:47:55,2018-11-15 16:47:55,0.031s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-15 16:47:55,2018-11-15 16:47:57,2.005s,PASSED
"Statement - screen.dragDrop(one, drop)",Chrome 70.0.3538.102,,2018-11-15 16:47:57,2018-11-15 16:48:00,3.462s,PASSED
,,,,,,
Test Cases/Mohit/File Upload_Sekuli,Chrome 70.0.3538.102,,2018-11-15 16:48:00,2018-11-15 16:48:22,21.221s,ERROR
"Statement - imgDir = com.kms.katalon.core.configuration.RunConfiguration.getProjectDir() + ""/img/""",Chrome 70.0.3538.102,,2018-11-15 16:48:01,2018-11-15 16:48:01,0.002s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 16:48:01,2018-11-15 16:48:10,9.494s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-15 16:48:10,2018-11-15 16:48:15,4.412s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-15 16:48:15,2018-11-15 16:48:16,1.147s,PASSED
click,Chrome 70.0.3538.102,,2018-11-15 16:48:16,2018-11-15 16:48:16,0.257s,PASSED
Statement - scr = new org.sikuli.script.Screen(),Chrome 70.0.3538.102,,2018-11-15 16:48:16,2018-11-15 16:48:16,0.001s,PASSED
Statement - open = new org.sikuli.script.Pattern((imgDir + Open.png)),Chrome 70.0.3538.102,,2018-11-15 16:48:16,2018-11-15 16:48:16,0.019s,PASSED
Statement - fileName = new org.sikuli.script.Pattern((imgDir + FileName.png)),Chrome 70.0.3538.102,,2018-11-15 16:48:16,2018-11-15 16:48:16,0.008s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.102,,2018-11-15 16:48:16,2018-11-15 16:48:18,2.001s,PASSED
"Statement - scr.paste(fileName, ""D:"" + ""\"" + ""file.txt"")",Chrome 70.0.3538.102,,2018-11-15 16:48:18,2018-11-15 16:48:22,3.473s,PASSED
,,,,,,
Test Cases/Mohit/New Test Case,Chrome 70.0.3538.102,,2018-11-15 16:48:22,2018-11-15 16:48:37,15.612s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-15 16:48:22,2018-11-15 16:48:32,9.862s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 70.0.3538.102,,2018-11-15 16:48:32,2018-11-15 16:48:37,5.001s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-15 16:48:37,2018-11-15 16:48:37,0.722s,PASSED
