Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
grouping,Chrome 71.0.3578.98,,2018-12-17 10:55:24,2018-12-17 10:56:20,56.584s,PASSED
,,,,,,
Test Cases/Akshata/TC4 - grouping,Chrome 71.0.3578.98,,2018-12-17 10:55:24,2018-12-17 10:55:52,27.837s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-17 10:55:24,2018-12-17 10:55:24,0.016s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-17 10:55:24,2018-12-17 10:55:24,0.006s,PASSED
"title = callTestCase(findTestCase(""Akshata/TC5 - grouping""), [:], CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-17 10:55:25,2018-12-17 10:55:52,27.433s,PASSED
println(title),Chrome 71.0.3578.98,,2018-12-17 10:55:52,2018-12-17 10:55:52,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-17 10:55:52,2018-12-17 10:55:52,0.006s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-17 10:55:52,2018-12-17 10:55:52,0.005s,PASSED
,,,,,,
Test Cases/Akshata/TC5 - grouping,Chrome 71.0.3578.98,,2018-12-17 10:55:52,2018-12-17 10:56:19,26.647s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-17 10:55:52,2018-12-17 10:55:52,0.004s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-17 10:55:52,2018-12-17 10:55:52,0.002s,PASSED
"openBrowser(""https://www.google.co.in/"")",Chrome 71.0.3578.98,,2018-12-17 10:55:52,2018-12-17 10:56:19,26.573s,PASSED
title = getWindowTitle(),Chrome 71.0.3578.98,,2018-12-17 10:56:19,2018-12-17 10:56:19,0.009s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-17 10:56:19,2018-12-17 10:56:19,0.007s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-17 10:56:19,2018-12-17 10:56:19,0.003s,PASSED
