Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
grouping,Chrome 71.0.3578.98,,2018-12-13 16:28:26,2018-12-13 16:29:31,1m - 4.555s,PASSED
,,,,,,
Test Cases/Akshata/TC4 - grouping,Chrome 71.0.3578.98,,2018-12-13 16:28:27,2018-12-13 16:29:00,32.879s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-13 16:28:27,2018-12-13 16:28:28,0.124s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-13 16:28:28,2018-12-13 16:28:28,0.009s,PASSED
"title = callTestCase(findTestCase(""Akshata/TC5 - grouping""), [:], CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-13 16:28:28,2018-12-13 16:29:00,32.385s,PASSED
println(title),Chrome 71.0.3578.98,,2018-12-13 16:29:00,2018-12-13 16:29:00,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-13 16:29:00,2018-12-13 16:29:00,0.013s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-13 16:29:00,2018-12-13 16:29:00,0.005s,PASSED
,,,,,,
Test Cases/Akshata/TC5 - grouping,Chrome 71.0.3578.98,,2018-12-13 16:29:00,2018-12-13 16:29:29,28.790s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-13 16:29:00,2018-12-13 16:29:00,0.005s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-13 16:29:00,2018-12-13 16:29:00,0.003s,PASSED
"openBrowser(""https://www.google.co.in/"")",Chrome 71.0.3578.98,,2018-12-13 16:29:00,2018-12-13 16:29:29,28.681s,PASSED
title = getWindowTitle(),Chrome 71.0.3578.98,,2018-12-13 16:29:29,2018-12-13 16:29:29,0.016s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-13 16:29:29,2018-12-13 16:29:29,0.006s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-13 16:29:29,2018-12-13 16:29:29,0.003s,PASSED
