Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
custom keyword,Chrome 71.0.3578.98,,2018-12-17 14:35:32,2018-12-17 14:36:33,1m - 1.412s,PASSED
,,,,,,
Test Cases/Rajiv/JavaScript,Chrome 71.0.3578.98,This is the sample JavaScript Project.,2018-12-17 14:35:36,2018-12-17 14:36:33,57.115s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-17 14:35:37,2018-12-17 14:35:37,0.578s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-17 14:35:38,2018-12-17 14:35:48,10.120s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-17 14:35:48,2018-12-17 14:35:50,1.430s,PASSED
"executeJavaScript(""window.location='https://www.freecrm.com'"", null)",Chrome 71.0.3578.98,,2018-12-17 14:35:50,2018-12-17 14:35:58,8.356s,PASSED
"wb1 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMUsername""), 5)",Chrome 71.0.3578.98,,2018-12-17 14:35:58,2018-12-17 14:35:58,0.132s,PASSED
"wb2 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMPassword""), 5)",Chrome 71.0.3578.98,,2018-12-17 14:35:58,2018-12-17 14:35:58,0.117s,PASSED
"wb3 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMLoginBtn""), 5)",Chrome 71.0.3578.98,,2018-12-17 14:35:58,2018-12-17 14:35:59,0.269s,PASSED
delay(2),Chrome 71.0.3578.98,,2018-12-17 14:35:59,2018-12-17 14:36:01,2.034s,PASSED
"javaScript.JavaScriptExecutor.jsType(variable, wb1)",Chrome 71.0.3578.98,,2018-12-17 14:36:01,2018-12-17 14:36:04,2.947s,PASSED
"javaScript.JavaScriptExecutor.jsType(variable_0, wb2)",Chrome 71.0.3578.98,,2018-12-17 14:36:04,2018-12-17 14:36:06,2.422s,PASSED
javaScript.JavaScriptExecutor.jsClick(wb3),Chrome 71.0.3578.98,,2018-12-17 14:36:06,2018-12-17 14:36:14,7.751s,PASSED
"javaScript.JavaScriptExecutor.alertGenerator(""This Alert is generated by JavaScript !! "")",Chrome 71.0.3578.98,,2018-12-17 14:36:14,2018-12-17 14:36:17,3.124s,PASSED
delay(2),Chrome 71.0.3578.98,,2018-12-17 14:36:17,2018-12-17 14:36:19,2.019s,PASSED
acceptAlert(),Chrome 71.0.3578.98,,2018-12-17 14:36:19,2018-12-17 14:36:19,0.119s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-17 14:36:19,2018-12-17 14:36:22,3.003s,PASSED
"switchToFrame(findTestObject(""Object Repository/JavaScript/iFrame""), 5)",Chrome 71.0.3578.98,,2018-12-17 14:36:22,2018-12-17 14:36:22,0.248s,PASSED
"wb4 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMLogout""), 5)",Chrome 71.0.3578.98,,2018-12-17 14:36:22,2018-12-17 14:36:22,0.076s,PASSED
javaScript.JavaScriptExecutor.jsClick(wb4),Chrome 71.0.3578.98,,2018-12-17 14:36:22,2018-12-17 14:36:28,5.126s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-17 14:36:28,2018-12-17 14:36:31,3.002s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-17 14:36:31,2018-12-17 14:36:33,2.327s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-17 14:36:33,2018-12-17 14:36:33,0.010s,PASSED
