Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite 1,Chrome 71.0.3578.80,,2018-12-11 11:18:06,2018-12-11 11:19:17,1m - 11.601s,ERROR
,,,,,,
Test Cases/Mohit/DemoSite/phpTravels,Chrome 71.0.3578.80,,2018-12-11 11:18:07,2018-12-11 11:19:15,1m - 8.452s,ERROR
"openBrowser(""https://www.phptravels.net/"")",Chrome 71.0.3578.80,,2018-12-11 11:18:08,2018-12-11 11:18:40,31.543s,PASSED
maximizeWindow(),Chrome 71.0.3578.80,,2018-12-11 11:18:40,2018-12-11 11:18:41,1.412s,PASSED
driver = getWebDriver(),Chrome 71.0.3578.80,,2018-12-11 11:18:41,2018-12-11 11:18:41,0.033s,PASSED
"for ([i = 0, i < 1000, (i++)])",Chrome 71.0.3578.80,,2018-12-11 11:18:41,2018-12-11 11:18:43,1.719s,PASSED
"elements = driver.findElements(By.className(""text-center""))",Chrome 71.0.3578.80,,2018-12-11 11:18:43,2018-12-11 11:18:43,0.113s,PASSED
for (org.openqa.selenium.WebElement webElement : elements),Chrome 71.0.3578.80,,2018-12-11 11:18:43,2018-12-11 11:18:44,1.207s,PASSED
"for ([i = 0, i < 1000, (i++)])",Chrome 71.0.3578.80,,2018-12-11 11:18:44,2018-12-11 11:18:46,1.457s,PASSED
action = new org.openqa.selenium.interactions.Actions(driver),Chrome 71.0.3578.80,,2018-12-11 11:18:46,2018-12-11 11:18:46,0.021s,PASSED
"elements = driver.findElements(By.className(""select2-chosen""))",Chrome 71.0.3578.80,,2018-12-11 11:18:46,2018-12-11 11:18:46,0.099s,PASSED
for (org.openqa.selenium.WebElement webElement : elements),Chrome 71.0.3578.80,,2018-12-11 11:18:46,2018-12-11 11:18:54,7.783s,PASSED
"name(""departure"")).click()",Chrome 71.0.3578.80,,2018-12-11 11:18:54,2018-12-11 11:18:54,0.233s,PASSED
Thread.sleep(1000),Chrome 71.0.3578.80,,2018-12-11 11:18:54,2018-12-11 11:18:55,1.003s,PASSED
"elements = driver.findElements(By.className(""day""))",Chrome 71.0.3578.80,,2018-12-11 11:18:55,2018-12-11 11:18:55,0.182s,PASSED
for (org.openqa.selenium.WebElement webElement : elements),Chrome 71.0.3578.80,,2018-12-11 11:18:55,2018-12-11 11:19:15,20.004s,ERROR
