Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Nikita,,,2018-12-07 17:01:09,2018-12-07 17:01:12,3.117s,FAILED
,,,,,,
Test Cases/Nikita/Orange HRM/Login_Excel_testdata,,,2018-12-07 17:01:09,2018-12-07 17:01:12,2.557s,FAILED
"openBrowser("""")",,,2018-12-07 17:01:10,2018-12-07 17:01:12,1.825s,FAILED
,,,,,,
Test Cases/Nikita/Orange HRM/Login_Excel_testdata,,,2018-12-07 17:01:12,2018-12-07 17:01:12,0.082s,FAILED
"openBrowser("""")",,,2018-12-07 17:01:12,2018-12-07 17:01:12,0.042s,FAILED
