Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Nikita,Chrome 70.0.3538.102,,2018-11-26 12:28:38,2018-11-26 12:28:50,12.032s,ERROR
,,,,,,
Test Cases/Nikita/Orange HRM/Login_Excel_testdata,Chrome 70.0.3538.102,,2018-11-26 12:28:38,2018-11-26 12:28:49,10.147s,ERROR
openBrowser,Chrome 70.0.3538.102,,2018-11-26 12:28:39,2018-11-26 12:28:44,5.262s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-26 12:28:44,2018-11-26 12:28:48,3.930s,PASSED
click,Chrome 70.0.3538.102,,2018-11-26 12:28:48,2018-11-26 12:28:48,0.222s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-26 12:28:48,2018-11-26 12:28:48,0.014s,PASSED
