Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EndtoEndDemo,Chrome 71.0.3578.98,,2018-12-13 16:29:42,2018-12-13 16:31:54,2m - 12.336s,PASSED
,,,,,,
Test Cases/Nirmal/TC5 - End To End Scenario,Chrome 71.0.3578.98,,2018-12-13 16:29:43,2018-12-13 16:31:52,2m - 9.430s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-13 16:29:43,2018-12-13 16:29:43,0.228s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 71.0.3578.98,,2018-12-13 16:29:43,2018-12-13 16:29:43,0.007s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-13 16:29:44,2018-12-13 16:30:11,27.227s,PASSED
"navigateToUrl(""http://demowebshop.tricentis.com/"")",Chrome 71.0.3578.98,,2018-12-13 16:30:11,2018-12-13 16:30:19,7.620s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-13 16:30:19,2018-12-13 16:30:20,1.285s,PASSED
delay(5),Chrome 71.0.3578.98,,2018-12-13 16:30:20,2018-12-13 16:30:25,5.108s,PASSED
"click(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop/a_Register""))",Chrome 71.0.3578.98,,2018-12-13 16:30:25,2018-12-13 16:30:27,1.153s,PASSED
"click(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input_Gender_Gender""))",Chrome 71.0.3578.98,,2018-12-13 16:30:27,2018-12-13 16:30:27,0.211s,PASSED
"sendKeys(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input_First name_FirstName""), First_name)",Chrome 71.0.3578.98,,2018-12-13 16:30:27,2018-12-13 16:30:27,0.235s,PASSED
"sendKeys(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input_Last name_LastName""), Last_name)",Chrome 71.0.3578.98,,2018-12-13 16:30:27,2018-12-13 16:30:27,0.168s,PASSED
"sendKeys(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input_Email_Email""), Email)",Chrome 71.0.3578.98,,2018-12-13 16:30:27,2018-12-13 16:30:27,0.319s,PASSED
"sendKeys(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input_Password_Password""), Password)",Chrome 71.0.3578.98,,2018-12-13 16:30:27,2018-12-13 16:30:28,0.259s,PASSED
"sendKeys(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input_Confirm password_Confirm""), Password)",Chrome 71.0.3578.98,,2018-12-13 16:30:28,2018-12-13 16:30:28,0.212s,PASSED
"click(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input__register-button""))",Chrome 71.0.3578.98,,2018-12-13 16:30:28,2018-12-13 16:30:29,1.314s,PASSED
"click(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Register/input_Your registration comple""))",Chrome 71.0.3578.98,,2018-12-13 16:30:29,2018-12-13 16:30:57,27.533s,PASSED
delay(5),Chrome 71.0.3578.98,,2018-12-13 16:30:57,2018-12-13 16:31:02,5.009s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_Demo Web Shop/a_Computers""))",Chrome 71.0.3578.98,,2018-12-13 16:31:02,2018-12-13 16:31:02,0.281s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Desktops""))",Chrome 71.0.3578.98,,2018-12-13 16:31:02,2018-12-13 16:31:03,1.165s,PASSED
delay(5),Chrome 71.0.3578.98,,2018-12-13 16:31:03,2018-12-13 16:31:08,5.005s,PASSED
"click(findTestObject(""Object Repository/End To End Senario/Page_Demo Web Shop. Desktops/input_Build it_button-2 produc""))",Chrome 71.0.3578.98,,2018-12-13 16:31:08,2018-12-13 16:31:09,0.319s,PASSED
