Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
custom keyword,Chrome 70.0.3538.110,,2018-12-17 11:17:34,2018-12-17 11:18:19,45.764s,PASSED
,,,,,,
Test Cases/Rajiv/JavaScript,Chrome 70.0.3538.110,This is the sample JavaScript Project.,2018-12-17 11:17:35,2018-12-17 11:18:19,44.093s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.110,,2018-12-17 11:17:36,2018-12-17 11:17:36,0.043s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.110,,2018-12-17 11:17:36,2018-12-17 11:17:36,0.029s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-17 11:17:36,2018-12-17 11:17:43,7.172s,PASSED
maximizeWindow(),Chrome 70.0.3538.110,,2018-12-17 11:17:43,2018-12-17 11:17:45,1.171s,PASSED
"executeJavaScript(""window.location='https://www.freecrm.com'"", null)",Chrome 70.0.3538.110,,2018-12-17 11:17:45,2018-12-17 11:17:50,5.045s,PASSED
"wb1 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMUsername""), 5)",Chrome 70.0.3538.110,,2018-12-17 11:17:50,2018-12-17 11:17:50,0.191s,PASSED
"wb2 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMPassword""), 5)",Chrome 70.0.3538.110,,2018-12-17 11:17:50,2018-12-17 11:17:50,0.078s,PASSED
"wb3 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMLoginBtn""), 5)",Chrome 70.0.3538.110,,2018-12-17 11:17:50,2018-12-17 11:17:50,0.068s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-17 11:17:50,2018-12-17 11:17:52,2.056s,PASSED
"javaScript.JavaScriptExecutor.jsType(variable, wb1)",Chrome 70.0.3538.110,,2018-12-17 11:17:52,2018-12-17 11:17:54,2.137s,PASSED
"javaScript.JavaScriptExecutor.jsType(variable_0, wb2)",Chrome 70.0.3538.110,,2018-12-17 11:17:54,2018-12-17 11:17:56,2.050s,PASSED
javaScript.JavaScriptExecutor.jsClick(wb3),Chrome 70.0.3538.110,,2018-12-17 11:17:56,2018-12-17 11:18:04,7.242s,PASSED
"javaScript.JavaScriptExecutor.alertGenerator(""This Alert is generated by JavaScript !! "")",Chrome 70.0.3538.110,,2018-12-17 11:18:04,2018-12-17 11:18:07,3.023s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-17 11:18:07,2018-12-17 11:18:09,2.004s,PASSED
acceptAlert(),Chrome 70.0.3538.110,,2018-12-17 11:18:09,2018-12-17 11:18:09,0.104s,PASSED
delay(3),Chrome 70.0.3538.110,,2018-12-17 11:18:09,2018-12-17 11:18:12,3.004s,PASSED
"switchToFrame(findTestObject(""Object Repository/JavaScript/iFrame""), 5)",Chrome 70.0.3538.110,,2018-12-17 11:18:12,2018-12-17 11:18:12,0.138s,PASSED
"wb4 = findWebElement(findTestObject(""Object Repository/JavaScript/FreeCRMLogout""), 5)",Chrome 70.0.3538.110,,2018-12-17 11:18:12,2018-12-17 11:18:12,0.098s,PASSED
javaScript.JavaScriptExecutor.jsClick(wb4),Chrome 70.0.3538.110,,2018-12-17 11:18:12,2018-12-17 11:18:16,3.634s,PASSED
delay(3),Chrome 70.0.3538.110,,2018-12-17 11:18:16,2018-12-17 11:18:19,3.002s,PASSED
closeBrowser(),Chrome 70.0.3538.110,,2018-12-17 11:18:19,2018-12-17 11:18:19,0.777s,PASSED
Start listener action : sampleAfterTestCase,Chrome 70.0.3538.110,,2018-12-17 11:18:19,2018-12-17 11:18:19,0.010s,PASSED
Start listener action : sampleAfterTestCase,Chrome 70.0.3538.110,,2018-12-17 11:18:19,2018-12-17 11:18:19,0.005s,PASSED
